user_id,city,segment,avg_order_value,order_frequency,preferred_cuisine,veg_preference_ratio,price_sensitivity_score,recency_score,lifetime_orders,user_frequency_bucket
36,Pune,budget,167.42,1.433,Fast Food,0.378,0.629,0.672,43,2
37,Hyderabad,budget,80.0,5.967,North Indian,0.326,0.635,0.665,179,3
38,Mumbai,mid,311.65,0.367,Chinese,0.448,0.464,0.644,11,1
39,Mumbai,budget,194.75,3.767,Chinese,0.659,0.915,0.799,113,3
40,Hyderabad,mid,372.74,5.633,South Indian,0.661,0.59,0.802,169,3
41,Mumbai,budget,80.0,4.8,Biryani,0.505,0.792,0.295,144,3
42,Hyderabad,premium,565.52,0.1,Biryani,0.369,0.356,0.185,1,0
43,Mumbai,mid,199.86,0.1,Chinese,0.477,0.344,0.219,3,0
44,Chennai,budget,80.0,0.533,Biryani,0.502,0.778,0.399,16,2
45,Delhi,premium,723.53,0.967,Fast Food,0.431,0.382,0.503,29,2
46,Mumbai,premium,812.06,3.9,North Indian,0.283,0.237,0.674,117,3
47,Bengaluru,budget,172.03,3.6,South Indian,0.138,0.613,0.66,108,3
48,Pune,budget,180.13,0.1,South Indian,0.458,0.857,0.289,2,0
49,Hyderabad,mid,348.81,2.067,South Indian,0.127,0.489,0.502,62,3
50,Pune,budget,136.33,0.667,North Indian,0.91,0.644,0.644,20,2
51,Delhi,budget,96.35,0.967,North Indian,0.258,0.605,0.338,29,2
52,Chennai,budget,128.0,2.0,Biryani,0.743,0.845,0.294,60,3
53,Delhi,mid,217.87,6.167,Other,0.509,0.595,0.49,185,3
54,Bengaluru,mid,265.48,2.267,Fast Food,0.208,0.693,0.484,68,3
55,Bengaluru,mid,358.89,0.9,Fast Food,0.563,0.461,0.531,27,2
56,Hyderabad,mid,338.22,3.9,North Indian,0.31,0.579,0.559,117,3
57,Chennai,mid,656.47,0.967,South Indian,0.22,0.534,0.586,29,2
58,Mumbai,mid,215.42,2.767,Other,0.284,0.323,0.604,83,3
59,Chennai,budget,143.75,0.1,South Indian,0.325,0.648,0.124,2,0
60,Chennai,budget,80.0,0.833,Chinese,0.218,0.976,0.806,25,2
61,Bengaluru,mid,311.22,6.133,South Indian,0.487,0.46,0.809,184,3
62,Mumbai,mid,315.29,4.267,Fast Food,0.422,0.324,0.921,128,3
63,Bengaluru,mid,434.49,6.1,Other,0.025,0.628,0.528,183,3
64,Delhi,mid,305.03,4.9,South Indian,0.078,0.38,0.784,147,3
65,Chennai,mid,330.87,6.433,Fast Food,0.386,0.419,0.734,193,3
66,Mumbai,mid,306.97,3.433,Biryani,0.051,0.51,0.558,103,3
67,Delhi,mid,209.89,0.267,Chinese,0.79,0.311,0.521,8,1
68,Chennai,budget,117.39,0.567,South Indian,0.381,0.906,0.831,17,2
69,Pune,budget,130.9,1.333,Chinese,0.162,0.854,0.993,40,2
70,Hyderabad,budget,153.69,0.833,Biryani,0.441,0.889,0.679,25,2
71,Mumbai,budget,177.95,5.4,Fast Food,0.052,0.75,0.477,162,3
72,Chennai,budget,138.27,6.3,South Indian,0.172,0.886,0.614,189,3
73,Mumbai,premium,649.56,4.2,Desserts,0.547,0.138,0.742,126,3
74,Mumbai,budget,80.0,1.367,South Indian,0.087,0.948,0.704,41,2
75,Chennai,budget,176.99,0.1,South Indian,0.199,0.713,0.17,1,0
76,Bengaluru,budget,115.21,2.133,Fast Food,0.599,0.633,0.654,64,3
77,Mumbai,budget,187.36,5.9,Biryani,0.817,0.73,0.93,177,3
78,Bengaluru,mid,481.64,4.633,Biryani,0.4,0.596,0.986,139,3
79,Bengaluru,mid,331.21,0.1,North Indian,0.297,0.452,0.29,1,0
80,Hyderabad,mid,247.67,5.3,North Indian,0.436,0.369,0.483,159,3
81,Pune,mid,348.33,4.467,North Indian,0.41,0.669,0.786,134,3
82,Mumbai,budget,167.44,6.067,Biryani,0.476,0.662,0.547,182,3
83,Hyderabad,premium,636.9,0.1,Fast Food,0.441,0.052,0.121,1,0
84,Hyderabad,budget,121.8,2.733,Biryani,0.588,0.78,0.473,82,3
85,Pune,budget,178.18,0.767,Fast Food,0.526,0.814,0.532,23,2
86,Bengaluru,budget,174.88,6.6,South Indian,0.27,0.978,0.761,198,3
87,Mumbai,mid,315.37,5.233,Chinese,0.194,0.308,0.701,157,3
88,Pune,mid,184.59,0.1,North Indian,0.345,0.689,0.084,1,0
89,Mumbai,budget,172.82,4.1,Biryani,0.545,0.783,0.388,123,3
90,Bengaluru,mid,273.27,5.533,North Indian,0.199,0.643,0.608,166,3
91,Hyderabad,budget,160.72,4.7,South Indian,0.395,0.838,0.946,141,3
92,Mumbai,mid,365.12,1.933,South Indian,0.202,0.6,0.556,58,3
93,Delhi,budget,80.0,1.033,Biryani,0.338,0.773,0.776,31,2
94,Mumbai,budget,154.05,6.233,Chinese,0.271,0.619,0.633,187,3
95,Pune,budget,175.73,2.567,South Indian,0.21,0.957,0.605,77,3
96,Delhi,mid,413.72,5.8,Fast Food,0.498,0.378,0.689,174,3
97,Hyderabad,budget,155.87,3.167,Biryani,0.15,0.609,0.592,95,3
98,Delhi,budget,80.0,0.1,North Indian,0.664,0.715,0.179,3,0
99,Chennai,budget,213.85,1.733,Chinese,0.159,0.782,0.469,52,3
100,Chennai,premium,782.2,4.067,South Indian,0.645,0.121,0.425,122,3
101,Mumbai,premium,459.34,3.8,North Indian,0.442,0.167,0.28,114,3
102,Chennai,mid,271.22,0.1,Biryani,0.441,0.667,0.187,2,0
103,Hyderabad,budget,161.56,0.1,Fast Food,0.447,0.636,0.181,2,0
104,Mumbai,premium,835.96,0.1,South Indian,0.274,0.367,0.084,2,0
105,Delhi,mid,301.2,4.4,Biryani,0.095,0.357,0.746,132,3
106,Pune,mid,432.55,0.367,North Indian,0.494,0.309,0.589,11,1
107,Bengaluru,budget,80.0,0.933,Biryani,0.313,0.944,0.807,28,2
108,Mumbai,budget,97.88,4.767,Chinese,0.397,0.838,0.973,143,3
109,Hyderabad,budget,80.0,0.1,Desserts,0.61,0.936,0.29,2,0
110,Chennai,premium,520.52,0.9,Biryani,0.548,0.371,0.384,27,2
111,Bengaluru,mid,500.81,0.3,Chinese,0.618,0.679,0.519,9,1
112,Mumbai,budget,252.89,1.833,Desserts,0.675,0.682,0.54,55,3
113,Mumbai,budget,161.73,0.433,Other,0.398,0.941,0.587,13,1
114,Bengaluru,mid,286.16,1.733,South Indian,0.211,0.519,0.746,52,3
115,Bengaluru,budget,138.92,0.1,South Indian,0.149,0.812,0.297,1,0
116,Chennai,premium,794.67,0.1,North Indian,0.408,0.045,0.061,1,0
117,Chennai,mid,193.7,4.267,South Indian,0.515,0.309,0.595,128,3
118,Delhi,mid,292.75,2.767,North Indian,0.332,0.61,0.656,83,3
119,Chennai,budget,221.74,1.167,South Indian,0.561,0.661,0.498,35,2
120,Mumbai,mid,245.43,0.1,Fast Food,0.236,0.447,0.031,3,0
121,Delhi,mid,275.1,6.433,Fast Food,0.177,0.629,0.571,193,3
122,Chennai,mid,351.32,1.5,South Indian,0.12,0.451,0.849,45,2
123,Pune,budget,164.16,3.667,Chinese,0.178,0.616,0.296,110,3
124,Chennai,budget,118.75,2.333,South Indian,0.415,0.928,0.674,70,3
125,Bengaluru,budget,153.85,2.467,Other,0.24,0.966,0.835,74,3
126,Pune,mid,410.79,3.467,North Indian,0.424,0.559,0.575,104,3
127,Bengaluru,budget,248.07,1.233,Biryani,0.586,0.686,0.349,37,2
128,Hyderabad,budget,143.69,1.4,Other,0.534,0.905,0.889,42,2
129,Chennai,budget,147.94,0.4,Biryani,0.19,0.873,0.782,12,1
130,Mumbai,mid,502.75,4.633,South Indian,0.164,0.38,0.606,139,3
131,Pune,budget,122.54,0.1,North Indian,0.4,0.636,0.043,1,0
132,Hyderabad,premium,435.13,3.067,South Indian,0.458,0.276,0.896,92,3
133,Delhi,mid,375.02,4.167,North Indian,0.383,0.624,0.552,125,3
134,Chennai,budget,203.81,6.533,Biryani,0.617,0.992,0.856,196,3
135,Bengaluru,mid,386.1,5.1,Desserts,0.372,0.336,0.784,153,3
136,Mumbai,budget,145.15,0.1,North Indian,0.675,0.984,0.037,3,0
137,Chennai,premium,410.32,5.2,Biryani,0.682,0.259,0.658,156,3
138,Mumbai,mid,344.16,2.733,South Indian,0.427,0.437,0.977,82,3
139,Hyderabad,mid,473.32,6.4,South Indian,0.549,0.387,0.419,192,3
140,Chennai,budget,88.29,6.167,Biryani,0.342,0.839,0.374,185,3
141,Mumbai,mid,325.53,0.1,Fast Food,0.55,0.647,0.145,3,0
142,Chennai,mid,311.25,5.9,Biryani,0.611,0.55,0.524,177,3
143,Bengaluru,premium,560.46,1.7,South Indian,0.458,0.221,0.324,51,3
144,Bengaluru,mid,374.79,3.3,Chinese,0.413,0.459,0.577,99,3
145,Mumbai,mid,394.33,0.1,Fast Food,0.2,0.598,0.061,1,0
146,Chennai,budget,171.64,0.967,South Indian,0.287,0.827,0.818,29,2
147,Mumbai,budget,101.16,0.1,Fast Food,0.583,0.925,0.016,3,0
148,Delhi,mid,185.4,2.8,Chinese,0.301,0.529,0.282,84,3
149,Delhi,budget,163.12,3.933,Fast Food,0.305,0.678,0.633,118,3
150,Bengaluru,budget,124.7,3.967,Chinese,0.349,0.862,0.814,119,3
151,Pune,premium,1067.66,0.1,Fast Food,0.682,0.392,0.132,3,0
152,Chennai,premium,1076.9,1.8,Chinese,0.365,0.192,0.467,54,3
153,Chennai,budget,249.53,4.767,South Indian,0.54,0.661,0.671,143,3
154,Delhi,mid,255.99,1.4,Chinese,0.534,0.301,0.705,42,2
155,Hyderabad,budget,178.47,3.067,South Indian,0.748,0.925,0.617,92,3
156,Bengaluru,mid,437.1,3.6,North Indian,0.492,0.355,0.193,108,3
157,Bengaluru,budget,187.92,2.933,Biryani,0.46,0.756,0.634,88,3
158,Hyderabad,mid,314.56,1.3,North Indian,0.131,0.564,0.479,39,2
159,Mumbai,mid,477.92,0.1,North Indian,0.494,0.663,0.114,1,0
160,Bengaluru,mid,350.05,0.1,North Indian,0.476,0.422,0.013,1,0
161,Bengaluru,budget,156.41,6.333,South Indian,0.51,0.671,0.733,190,3
162,Pune,premium,392.43,0.633,South Indian,0.43,0.077,0.509,19,2
163,Pune,budget,182.24,1.667,Other,0.615,0.695,0.823,50,2
164,Pune,budget,136.98,6.567,Chinese,0.183,0.712,0.958,197,3
165,Hyderabad,mid,396.48,0.9,South Indian,0.517,0.323,0.629,27,2
166,Hyderabad,budget,161.76,3.633,Biryani,0.685,0.834,0.613,109,3
167,Chennai,premium,736.19,2.033,South Indian,0.289,0.3,0.902,61,3
168,Chennai,premium,690.86,6.533,Biryani,0.089,0.024,0.698,196,3
169,Chennai,budget,189.33,5.0,Fast Food,0.126,0.614,0.328,150,3
170,Pune,premium,660.22,5.033,Chinese,0.247,0.094,0.901,151,3
171,Bengaluru,budget,80.0,0.567,Other,0.364,0.931,0.636,17,2
172,Chennai,mid,406.9,1.133,South Indian,0.544,0.423,0.778,34,2
173,Hyderabad,budget,109.55,5.3,Biryani,0.157,0.622,0.632,159,3
174,Chennai,premium,435.15,1.633,North Indian,0.451,0.233,0.634,49,2
175,Pune,budget,98.89,2.967,North Indian,0.388,0.635,0.662,89,3
176,Mumbai,budget,164.17,0.833,North Indian,0.191,0.824,0.719,25,2
177,Pune,budget,145.17,0.3,North Indian,0.344,0.856,0.776,9,1
178,Chennai,premium,273.46,0.1,Biryani,0.465,0.002,0.033,3,0
179,Pune,premium,623.27,1.3,North Indian,0.138,0.153,0.665,39,2
180,Delhi,mid,466.92,1.233,Other,0.247,0.627,0.572,37,2
181,Hyderabad,premium,609.74,5.633,Fast Food,0.25,0.012,0.448,169,3
182,Mumbai,premium,666.9,4.8,South Indian,0.217,0.065,0.377,144,3
183,Mumbai,mid,454.3,1.533,Chinese,0.299,0.613,0.755,46,2
184,Hyderabad,budget,189.77,5.733,Biryani,0.255,0.8,0.641,172,3
185,Pune,mid,452.18,6.467,Chinese,0.434,0.312,0.152,194,3
186,Delhi,mid,80.0,2.833,North Indian,0.266,0.497,0.906,85,3
187,Chennai,budget,236.68,3.1,Biryani,0.475,0.766,0.916,93,3
188,Mumbai,budget,181.82,0.1,North Indian,0.422,0.694,0.154,2,0
189,Mumbai,mid,596.15,1.1,Fast Food,0.504,0.671,0.742,33,2
190,Hyderabad,budget,110.88,5.967,North Indian,0.14,0.757,0.38,179,3
191,Delhi,premium,347.31,0.967,Fast Food,0.386,0.372,0.794,29,2
192,Mumbai,budget,150.36,5.033,South Indian,0.062,0.847,0.74,151,3
193,Pune,budget,136.23,3.9,North Indian,0.613,0.834,0.201,117,3
194,Pune,premium,830.73,1.0,North Indian,0.519,0.396,0.752,30,2
195,Mumbai,budget,203.75,3.033,Chinese,0.295,0.618,0.621,91,3
196,Pune,budget,145.64,2.067,South Indian,0.581,0.695,0.786,62,3
197,Mumbai,mid,325.93,6.233,North Indian,0.453,0.581,0.718,187,3
198,Chennai,premium,804.54,3.633,Fast Food,0.465,0.249,0.957,109,3
199,Chennai,budget,137.18,2.533,South Indian,0.486,0.627,0.67,76,3
200,Delhi,budget,133.0,1.867,North Indian,0.717,0.73,0.695,56,3
201,Mumbai,mid,453.71,0.1,Fast Food,0.281,0.502,0.214,3,0
202,Hyderabad,premium,951.96,3.433,Biryani,0.622,0.315,0.774,103,3
203,Pune,mid,458.4,3.467,Fast Food,0.221,0.533,0.69,104,3
204,Mumbai,budget,141.59,6.333,North Indian,0.398,0.764,0.738,190,3
205,Pune,budget,80.0,4.367,Fast Food,0.512,0.697,0.583,131,3
206,Hyderabad,budget,142.59,3.1,Biryani,0.087,0.785,0.477,93,3
207,Pune,budget,112.1,2.567,North Indian,0.769,0.738,0.893,77,3
208,Delhi,mid,337.03,1.867,Chinese,0.493,0.425,0.261,56,3
209,Hyderabad,budget,116.45,4.367,Chinese,0.094,0.813,0.688,131,3
210,Bengaluru,mid,347.93,1.1,Fast Food,0.486,0.515,0.243,33,2
211,Hyderabad,mid,246.07,0.2,South Indian,0.582,0.591,0.928,6,1
212,Delhi,mid,221.93,6.0,Other,0.159,0.502,0.396,180,3
213,Bengaluru,budget,211.13,0.1,South Indian,0.913,0.812,0.045,1,0
214,Pune,premium,506.07,1.633,Biryani,0.247,0.043,0.827,49,2
215,Pune,mid,350.03,3.767,Other,0.365,0.379,0.457,113,3
216,Delhi,mid,445.45,1.4,Fast Food,0.339,0.555,0.501,42,2
217,Mumbai,budget,195.72,4.5,North Indian,0.274,0.921,0.721,135,3
218,Bengaluru,budget,189.74,0.1,Desserts,0.137,0.726,0.054,1,0
219,Delhi,premium,760.57,0.633,Chinese,0.03,0.02,0.399,19,2
220,Delhi,budget,186.2,3.167,North Indian,0.225,0.984,0.698,95,3
221,Delhi,budget,218.65,5.533,Desserts,0.578,0.695,0.584,166,3
222,Hyderabad,mid,392.5,2.667,South Indian,0.688,0.66,0.662,80,3
223,Mumbai,mid,166.28,4.567,Fast Food,0.102,0.39,0.382,137,3
224,Pune,premium,594.29,3.9,Chinese,0.052,0.127,0.558,117,3
225,Mumbai,budget,184.82,3.133,Desserts,0.05,0.894,0.677,94,3
226,Mumbai,premium,574.58,3.867,Fast Food,0.28,0.034,0.872,116,3
227,Hyderabad,budget,231.01,3.3,Fast Food,0.498,0.925,0.109,99,3
228,Mumbai,mid,343.68,0.6,North Indian,0.187,0.426,0.654,18,2
229,Hyderabad,mid,358.52,3.0,North Indian,0.535,0.581,0.561,90,3
230,Mumbai,budget,206.24,2.833,Fast Food,0.445,0.877,0.837,85,3
231,Pune,budget,140.86,0.1,Fast Food,0.302,0.945,0.288,1,0
232,Hyderabad,budget,158.81,4.833,Biryani,0.653,0.781,0.292,145,3
233,Delhi,premium,879.82,3.867,North Indian,0.614,0.032,0.25,116,3
234,Hyderabad,mid,202.77,2.633,Biryani,0.28,0.551,0.633,79,3
235,Hyderabad,premium,642.94,4.233,North Indian,0.627,0.199,0.174,127,3
236,Chennai,premium,865.83,6.633,South Indian,0.347,0.323,0.467,199,3
237,Chennai,mid,356.56,5.6,North Indian,0.361,0.482,0.518,168,3
238,Pune,mid,496.73,1.667,Biryani,0.546,0.403,0.522,50,2
239,Pune,budget,80.0,1.967,South Indian,0.465,0.683,0.907,59,3
240,Mumbai,budget,80.0,3.367,Biryani,0.233,0.779,0.528,101,3
241,Chennai,premium,853.94,4.433,Biryani,0.486,0.121,0.598,133,3
242,Pune,mid,436.58,4.533,Desserts,0.318,0.446,0.588,136,3
243,Delhi,budget,140.34,5.233,Biryani,0.465,0.844,0.614,157,3
244,Chennai,mid,390.04,3.7,South Indian,0.548,0.606,0.845,111,3
245,Hyderabad,mid,424.52,5.5,North Indian,0.092,0.655,0.89,165,3
246,Hyderabad,premium,537.23,0.4,North Indian,0.59,0.148,0.532,12,1
247,Chennai,mid,279.32,1.567,Chinese,0.43,0.361,0.861,47,2
248,Bengaluru,budget,159.49,3.5,North Indian,0.278,0.865,0.516,105,3
249,Pune,budget,195.2,3.533,Chinese,0.031,0.744,0.59,106,3
250,Chennai,budget,91.7,0.1,Fast Food,0.042,0.961,0.164,3,0
251,Bengaluru,mid,330.21,0.1,Other,0.769,0.305,0.157,3,0
252,Hyderabad,premium,651.15,2.8,South Indian,0.204,0.048,0.655,84,3
253,Pune,mid,391.8,3.967,Fast Food,0.485,0.639,0.775,119,3
254,Bengaluru,budget,149.57,0.9,North Indian,0.673,0.875,0.578,27,2
255,Pune,budget,122.71,2.7,South Indian,0.734,0.926,0.94,81,3
256,Mumbai,mid,474.86,0.3,North Indian,0.737,0.523,0.912,9,1
257,Chennai,premium,592.15,1.133,Desserts,0.635,0.313,0.678,34,2
258,Hyderabad,budget,135.4,2.833,South Indian,0.217,0.774,0.444,85,3
259,Chennai,budget,80.0,0.167,South Indian,0.148,0.936,0.621,5,1
260,Hyderabad,mid,278.64,0.1,Biryani,0.224,0.321,0.072,3,0
261,Bengaluru,budget,175.8,5.967,Chinese,0.111,0.945,0.687,179,3
262,Mumbai,premium,764.12,5.567,Fast Food,0.069,0.119,0.353,167,3
263,Delhi,budget,179.98,3.833,Biryani,0.657,0.677,0.259,115,3
264,Pune,budget,177.55,6.333,Chinese,0.165,0.928,0.541,190,3
265,Bengaluru,premium,1117.54,0.367,Chinese,0.144,0.118,0.505,11,1
266,Mumbai,budget,112.61,6.267,Chinese,0.636,0.99,0.703,188,3
267,Mumbai,budget,80.0,3.367,North Indian,0.311,0.705,0.301,101,3
268,Delhi,budget,97.47,2.6,North Indian,0.669,0.718,0.471,78,3
269,Chennai,budget,114.82,5.3,South Indian,0.53,0.731,0.595,159,3
270,Bengaluru,budget,101.28,3.1,Fast Food,0.537,0.977,0.752,93,3
271,Bengaluru,budget,154.68,4.067,South Indian,0.267,0.864,0.6,122,3
272,Chennai,budget,212.63,2.2,North Indian,0.349,0.715,0.972,66,3
273,Hyderabad,budget,226.98,3.567,Biryani,0.508,0.726,0.648,107,3
274,Mumbai,mid,400.43,1.0,North Indian,0.481,0.583,0.813,30,2
275,Bengaluru,mid,564.13,1.533,South Indian,0.143,0.309,0.64,46,2
276,Chennai,budget,132.18,0.1,South Indian,0.559,0.918,0.134,1,0
277,Chennai,budget,80.0,6.3,South Indian,0.405,0.899,0.439,189,3
278,Bengaluru,mid,455.32,1.367,Biryani,0.928,0.525,0.667,41,2
279,Delhi,premium,332.28,3.9,North Indian,0.397,0.096,0.558,117,3
280,Delhi,premium,549.0,0.533,Chinese,0.234,0.093,0.482,16,2
281,Mumbai,budget,176.01,3.433,Other,0.171,0.654,0.384,103,3
282,Mumbai,budget,144.88,5.667,Chinese,0.672,0.98,0.628,170,3
283,Pune,budget,140.45,2.367,Chinese,0.573,0.693,0.642,71,3
284,Bengaluru,budget,90.96,5.333,Fast Food,0.734,0.862,0.282,160,3
285,Delhi,mid,348.92,2.7,North Indian,0.249,0.412,0.963,81,3
286,Bengaluru,budget,200.18,6.167,South Indian,0.684,0.683,0.672,185,3
287,Hyderabad,budget,151.0,4.233,Chinese,0.243,0.645,0.342,127,3
288,Mumbai,budget,108.49,0.1,Chinese,0.46,0.906,0.194,1,0
289,Pune,mid,225.25,0.1,Fast Food,0.186,0.329,0.041,2,0
290,Bengaluru,budget,109.52,5.8,North Indian,0.445,0.867,0.648,174,3
291,Hyderabad,premium,778.47,3.267,Biryani,0.412,0.146,0.927,98,3
292,Hyderabad,budget,167.18,2.733,Fast Food,0.966,0.91,0.952,82,3
293,Pune,premium,539.9,0.1,Biryani,0.392,0.175,0.289,2,0
294,Pune,budget,80.0,0.633,Biryani,0.22,0.777,0.875,19,2
295,Mumbai,premium,784.0,1.333,North Indian,0.471,0.395,0.67,40,2
296,Chennai,premium,520.46,3.133,Desserts,0.445,0.33,0.601,94,3
297,Mumbai,premium,837.81,2.033,South Indian,0.521,0.104,0.94,61,3
298,Mumbai,premium,548.78,3.733,Fast Food,0.655,0.088,0.166,112,3
299,Hyderabad,mid,251.21,0.1,North Indian,0.195,0.433,0.142,1,0
300,Bengaluru,mid,365.32,2.967,Fast Food,0.058,0.472,0.984,89,3
301,Bengaluru,mid,585.77,5.2,North Indian,0.387,0.515,0.225,156,3
302,Mumbai,budget,187.45,5.267,Fast Food,0.699,0.851,0.899,158,3
303,Hyderabad,mid,363.62,2.067,North Indian,0.339,0.521,0.968,62,3
304,Hyderabad,mid,385.89,2.433,Biryani,0.252,0.569,0.983,73,3
305,Mumbai,premium,349.78,0.1,North Indian,0.239,0.131,0.281,3,0
306,Bengaluru,mid,237.77,6.133,North Indian,0.686,0.509,0.378,184,3
307,Mumbai,budget,80.0,3.7,Fast Food,0.421,0.755,0.793,111,3
308,Pune,mid,522.99,0.633,South Indian,0.529,0.69,0.714,19,2
309,Chennai,budget,226.37,4.033,Chinese,0.419,0.944,0.506,121,3
310,Bengaluru,budget,169.64,4.833,Chinese,0.264,0.897,0.804,145,3
311,Mumbai,mid,363.51,6.233,Chinese,0.177,0.469,0.774,187,3
312,Pune,budget,80.0,6.2,Chinese,0.364,0.74,0.312,186,3
313,Bengaluru,budget,139.04,4.633,South Indian,0.203,0.996,0.877,139,3
314,Hyderabad,budget,239.62,0.1,Chinese,0.435,0.703,0.166,3,0
315,Chennai,budget,156.57,1.233,Biryani,0.518,0.687,0.57,37,2
316,Bengaluru,budget,121.77,5.867,Biryani,0.486,0.84,0.829,176,3
317,Pune,budget,80.0,3.233,North Indian,0.369,0.918,0.829,97,3
318,Delhi,mid,488.03,4.633,Biryani,0.343,0.396,0.285,139,3
319,Bengaluru,budget,146.5,4.933,North Indian,0.272,0.755,0.946,148,3
320,Delhi,premium,348.65,0.1,North Indian,0.33,0.315,0.015,1,0
321,Bengaluru,premium,515.15,2.567,Chinese,0.607,0.043,0.949,77,3
322,Chennai,mid,222.25,4.5,South Indian,0.511,0.614,0.78,135,3
323,Bengaluru,budget,143.41,3.233,South Indian,0.676,0.831,0.805,97,3
324,Pune,mid,370.73,0.1,Fast Food,0.273,0.429,0.033,1,0
325,Pune,premium,599.36,3.8,Fast Food,0.687,0.014,0.474,114,3
326,Delhi,mid,427.7,0.167,Chinese,0.45,0.464,0.458,5,1
327,Chennai,premium,715.76,0.1,South Indian,0.647,0.043,0.299,1,0
328,Bengaluru,mid,456.23,2.8,South Indian,0.383,0.697,0.568,84,3
329,Bengaluru,mid,314.28,0.1,North Indian,0.492,0.451,0.2,3,0
330,Delhi,budget,302.27,0.4,Chinese,0.747,0.999,0.616,12,1
331,Mumbai,mid,293.55,0.1,Fast Food,0.399,0.569,0.125,2,0
332,Bengaluru,budget,104.83,0.1,North Indian,0.711,0.708,0.073,1,0
333,Chennai,mid,247.37,5.667,South Indian,0.595,0.305,0.871,170,3
334,Pune,premium,657.81,6.567,Chinese,0.221,0.245,0.524,197,3
335,Bengaluru,budget,80.0,5.6,South Indian,0.055,0.904,0.776,168,3
336,Mumbai,mid,379.46,6.267,Chinese,0.624,0.371,0.632,188,3
337,Bengaluru,budget,80.0,0.1,Chinese,0.333,0.781,0.15,2,0
338,Delhi,mid,366.17,0.1,Fast Food,0.421,0.621,0.189,2,0
339,Pune,budget,82.44,0.933,North Indian,0.291,0.967,0.597,28,2
340,Chennai,premium,623.74,2.533,South Indian,0.151,0.118,0.664,76,3
341,Pune,budget,180.23,4.933,Fast Food,0.646,0.954,0.752,148,3
342,Delhi,premium,1160.81,2.733,Chinese,0.18,0.065,0.672,82,3
343,Bengaluru,premium,484.4,1.9,Fast Food,0.324,0.309,0.85,57,3
344,Mumbai,mid,334.97,0.4,South Indian,0.376,0.655,0.458,12,1
345,Mumbai,mid,277.62,2.367,North Indian,0.532,0.642,0.433,71,3
346,Bengaluru,mid,263.01,2.333,Fast Food,0.478,0.474,0.924,70,3
347,Bengaluru,premium,557.01,5.433,Biryani,0.34,0.116,0.768,163,3
348,Chennai,budget,191.2,5.233,Fast Food,0.622,0.758,0.449,157,3
